Gemeinde,Einwohner,Website,Contact Name,Email,Phone,Email Status,Notes
"Eschweiler, Stadt",  56 049,https://eschweiler.de,,,,,
"Hilden, Stadt",  55 815,https://hilden.de,,,,,
"Pulheim, Stadt",  55 530,https://pulheim.de,,,,,
"Langenhagen, Stadt",  55 367,No Website,,,,,
"Nordhorn, Stadt",  55 242,No Website,,,,,
"Bad Homburg v. d. Höhe, Stadt",  54 996,https://bad-homburg.de,,,,,
"Bad Salzuflen, Stadt",  54 808,https://bad-salzuflen.de,,,,,
Schweinfurt,  54 675,https://schweinfurt.de,,,,,
"Hattingen, Stadt",  54 637,https://hattingen.de,,,,,
"Wetzlar, Stadt",  54 187,https://wetzlar.de,,,,,
"Neustadt an der Weinstraße, Stadt",  53 981,https://neustadt-an-der-weinstrasse.de,,,,,
Passau,  53 907,https://passau.de,,,,,
"Kleve, Stadt",  53 388,https://kleve.de,,,,,
"Ahlen, Stadt",  53 348,https://ahlen.de,,,,,
"Frechen, Stadt",  52 811,https://frechen.de,,,,,
"Wolfenbüttel, Stadt",  52 681,https://wolfenbuettel.de,,,,,
"Bad Kreuznach, Stadt",  52 529,No Website,,,,,
"Menden (Sauerland), Stadt",  52 485,https://menden.de,,,,,
"Ibbenbüren, Stadt",  52 421,https://ibbenbueren.de,,,,,
"Gummersbach, Stadt",  52 001,https://gummersbach.de,,,,,
"Ravensburg, Stadt",  51 482,https://ravensburg.de,,,,,
"Böblingen, Stadt",  51 460,https://boeblingen.de,,,,,
"Peine, Stadt",  51 411,https://peine.de,,,,,
"Speyer, Stadt",  51 368,https://speyer.de,,,,,
"Rastatt, Stadt",  51 310,https://rastatt.de,,,,,
"Elmshorn, Stadt",  50 772,https://elmshorn.de,,,,,
"Emden, Stadt",  50 535,https://emden.de,,,,,
"Goslar, Stadt",  50 203,https://goslar.de,,,,,
"Willich, Stadt",  50 144,https://stadt-willich.de,,,,,
"Heidenheim an der Brenz, Stadt",  50 025,https://heidenheim.de,,,,,
"Erftstadt, Stadt",  49 882,https://erftstadt.de,,,,,
"Lörrach, Stadt",  49 876,https://loerrach.de,,,,,
"Gronau (Westf.), Stadt",  49 824,https://gronau.de,,,,,
"Leonberg, Stadt",  49 512,https://leonberg.de,,,,,
"Rheda-Wiedenbrück, Stadt",  49 486,No Website,,,,,
"Bad Oeynhausen, Stadt",  49 477,https://badoeynhausen.de,,,,,
"Singen (Hohentwiel), Stadt",  49 441,https://singen.de,,,,,
"Freising, GKSt",  49 339,https://freising.de,,,,,
"Bergkamen, Stadt",  49 263,https://bergkamen.de,,,,,
Straubing,  49 164,https://straubing.de,,,,,
"Lahr/Schwarzwald, Stadt",  49 074,https://lahr.de,,,,,
"Frankenthal (Pfalz), Stadt",  49 051,https://frankenthal.de,,,,,
"Bornheim, Stadt",  49 025,https://bornheim.de,,,,,
"Soest, Stadt",  48 607,https://soest.de,,,,,
"Cuxhaven, Stadt",  48 562,https://cuxhaven.de,,,,,
"Stade, Hansestadt",  48 353,No Website,,,,,
"Alsdorf, Stadt",  48 328,https://alsdorf.de,,,,,
"Dachau, GKSt",  48 195,https://dachau.de,,,,,
"Hennef (Sieg), Stadt",  48 002,https://hennef.de,,,,,
"Oranienburg, Stadt",  47 752,https://oranienburg.de,,,,,
"Landau in der Pfalz, Stadt",  47 610,https://landau.de,,,,,
"Dülmen, Stadt",  47 468,https://duelmen.de,,,,,
"Melle, Stadt",  47 228,No Website,,,,,
"Oberursel (Taunus), Stadt",  47 042,https://oberursel.de,,,,,
"Herzogenrath, Stadt",  46 941,https://herzogenrath.de,,,,,
"Neunkirchen, Kreisstadt",  46 882,https://neunkirchen.de,,,,,
"Schwerte, Hansestadt an der Ruhr",  46 658,https://schwerte.de,,,,,
Hof,  46 656,https://hof.de,,,,,
"Bruchsal, Stadt",  46 587,https://bruchsal.de,,,,,
"Rodgau, Stadt",  46 426,https://rodgau.de,,,,,
"Albstadt, Stadt",  46 422,https://albstadt.de,,,,,
"Filderstadt, Stadt",  46 188,https://filderstadt.de,,,,,
"Bünde, Stadt",  46 030,No Website,,,,,
"Gotha, Stadt",  46 019,https://gotha.de,,,,,
"Fellbach, Stadt",  45 896,https://fellbach.de,,,,,
Memmingen,  45 857,https://memmingen.de,,,,,
Kaufbeuren,  45 792,https://kaufbeuren.de,,,,,
"Wittenberg, Lutherstadt",  45 535,https://lutherstadt-wittenberg.de,,,,,
"Weinheim, Stadt",  45 275,https://weinheim.de,,,,,
"Neustadt am Rübenberge, Stadt",  45 262,No Website,,,,,
"Lehrte, Stadt",  44 823,https://lehrte.de,,,,,
"Falkensee, Stadt",  44 806,https://falkensee.de,,,,,
"Brühl, Stadt",  44 804,https://bruehl.de,,,,,
"Rottenburg am Neckar, Stadt",  44 653,https://rottenburg.de,,,,,
"Pinneberg, Stadt",  44 279,https://pinneberg.de,,,,,
"Kaarst, Stadt",  44 253,https://kaarst.de,,,,,
"Erkelenz, Stadt",  44 215,https://erkelenz.de,,,,,
"Wismar, Hansestadt",  43 878,https://wismar.de,,,,,
"Erkrath, Fundort des Neanderthalers, Stadt",  43 856,https://erkrath.de,,,,,
"Bietigheim-Bissingen, Stadt",  43 755,https://bietigheim-bissingen.de,,,,,
"Bernau bei Berlin, Stadt",  43 685,https://bernau-bei-berlin.de,,,,,
"Gifhorn, Stadt",  43 625,https://gifhorn.de,,,,,
"Borken, Stadt",  43 489,https://borken.de,,,,,
"Heinsberg, Stadt",  43 476,https://heinsberg.de,,,,,
"Nettetal, Stadt",  43 095,https://nettetal.de,,,,,
"Kamen, Stadt",  43 058,No Website,,,,,
Weiden i.d.OPf.,  43 052,https://weiden.de,,,,,
"Monheim am Rhein, Stadt",  43 050,https://monheim.de,,,,,
"Aurich, Stadt",  42 970,https://aurich.de,,,,,
"Laatzen, Stadt",  42 675,https://laatzen.de,,,,,
Amberg,  42 534,https://amberg.de,,,,,
Seevetal,  42 449,No Website,,,,,
"Eisenach, Stadt",  42 408,https://eisenach.de,,,,,
"Homburg, Kreisstadt",  42 297,https://homburg.de,,,,,
"Dreieich, Stadt",  42 260,https://dreieich.de,,,,,
Ansbach,  42 221,https://ansbach.de,,,,,
"Bensheim, Stadt",  42 089,https://bensheim.de,,,,,
"Siegburg, Stadt",  42 049,https://siegburg.de,,,,,
"Kirchheim unter Teck, Stadt",  41 907,https://kirchheim-teck.de,,,,,
"Schwäbisch Hall, Stadt",  41 898,https://schwaebischhall.de,,,,,
Coburg,  41 842,https://coburg.de,,,,,
"Wunstorf, Stadt",  41 689,No Website,,,,,
"Königswinter, Stadt",  41 495,https://koenigswinter.de,,,,,
"Eberswalde, Stadt",  41 461,https://eberswalde.de,,,,,
"Nürtingen, Stadt",  41 403,https://nuertingen.de,,,,,
"Germering, GKSt",  41 355,https://germering.de,,,,,
"Nordhausen, Stadt",  41 339,https://nordhausen.de,,,,,
"Hückelhoven, Stadt",  41 301,https://hueckelhoven.de,,,,,
Schwabach,  41 227,No Website,,,,,
"Buxtehude, Hansestadt",  40 919,No Website,,,,,
"Buchholz in der Nordheide, Stadt",  40 810,No Website,,,,,
"Neumarkt i.d.OPf., GKSt",  40 808,https://neumarkt.de,,,,,
"Pirmasens, Stadt",  40 682,https://stadt-pirmasens.de,,,,,
"Lemgo, Stadt",  40 594,https://lemgo.de,,,,,
"Freiberg, Stadt, Universitätsstadt",  40 485,https://freiberg.de,,,,,
"Halberstadt, Stadt",  40 457,No Website,,,,,
"Leinfelden-Echterdingen, Stadt",  40 420,https://leinfelden-echterdingen.de,,,,,
"Hofheim am Taunus, Kreisstadt",  40 371,https://hofheim.de,,,,,
"Löhne, Stadt",  40 265,No Website,,,,,
"Ahaus, Stadt",  40 245,https://stadt-ahaus.de,,,,,
"Schorndorf, Stadt",  40 204,https://schorndorf.de,,,,,
"Völklingen, Stadt",  40 192,https://voelklingen.de,,,,,
"Maintal, Stadt",  39 815,https://maintal.de,,,,,
"Ostfildern, Stadt",  39 806,https://ostfildern.de,,,,,
"Ettlingen, Stadt",  39 699,https://ettlingen.de,,,,,
"Freital, Stadt",  39 558,https://freital.de,,,,,
"Neu-Isenburg, Stadt",  39 287,https://neu-isenburg.de,,,,,
"Niederkassel, Stadt",  39 281,No Website,,,,,
"Langen (Hessen), Stadt",  39 217,https://langen.de,,,,,
"Mettmann, Stadt",  39 134,https://mettmann.de,,,,,
"Ilmenau, Stadt",  39 127,https://ilmenau.de,,,,,
"Stendal, Hansestadt",  39 105,https://stendal.de,,,,,
"Pirna, Stadt",  39 054,https://pirna.de,,,,,
"Weißenfels, Stadt",  39 041,https://weissenfels.de,,,,,
"Königs Wusterhausen, Stadt",  38 929,https://koenigs-wusterhausen.de,,,,,
"Kamp-Lintfort, Stadt",  38 665,https://kamp-lintfort.de,,,,,
"Würselen, Stadt",  38 598,https://wuerselen.de,,,,,
"Papenburg, Stadt",  38 556,No Website,,,,,
"Greven, Stadt",  38 207,No Website,,,,,
"Wesseling, Stadt",  38 192,https://wesseling.de,,,,,
"Kehl, Stadt",  38 154,https://kehl.de,,,,,
"Bautzen / Budyšin, Stadt",  38 140,https://bautzen.de,,,,,
"Haltern am See, Stadt",  38 117,https://haltern-am-see.de,,,,,
"Backnang, Stadt",  37 957,https://backnang.de,,,,,
"Bitterfeld-Wolfen, Stadt",  37 894,https://bitterfeld-wolfen.de,,,,,
"Fürstenfeldbruck, GKSt",  37 695,No Website,,,,,
"Warendorf, Stadt",  37 616,https://warendorf.de,,,,,
"Tuttlingen, Stadt",  37 458,https://tuttlingen.de,,,,,
"Beckum, Stadt",  37 333,https://beckum.de,,,,,
"Cloppenburg, Stadt",  37 056,No Website,,,,,
"Coesfeld, Stadt",  37 030,https://coesfeld.de,,,,,
"Suhl, Stadt",  37 009,https://thueringen.de,,,,,
"Erding, GKSt",  36 813,https://erding.de,,,,,
"Sinsheim, Stadt",  36 601,https://sinsheim.de,,,,,
"Porta Westfalica, Stadt",  36 374,https://portawestfalica.de,,,,,
"Emsdetten, Stadt",  36 354,https://emsdetten.de,,,,,
"Winsen (Luhe), Stadt",  36 295,No Website,,,,,
"Mühlhausen/Thüringen, Stadt",  36 226,https://muehlhausen-thueringen.de,,,,,
"Voerde (Niederrhein), Stadt",  36 196,https://voerde.de,,,,,
"Meppen, Stadt",  36 117,No Website,,,,,
"Limburg a. d. Lahn, Kreisstadt",  36 053,https://limburg.de,,,,,
"Ingelheim am Rhein, Stadt",  36 002,https://ingelheim.de,,,,,
"Crailsheim, Stadt",  35 760,https://crailsheim.de,,,,,
"Bad Vilbel, Stadt",  35 758,No Website,,,,,
"Leer (Ostfriesland), Stadt",  35 663,https://leer.de,,,,,
"Lage, Stadt",  35 423,https://lage.de,,,,,
"Mörfelden-Walldorf, Stadt",  35 291,https://moerfelden-walldorf.de,,,,,
"Goch, Stadt",  35 270,https://goch.de,,,,,
"St. Ingbert, Stadt",  35 216,https://st-ingbert.de,,,,,
"Datteln, Stadt",  35 191,https://datteln.de,,,,,
"Deggendorf, GKSt",  35 172,https://deggendorf.de,,,,,
"Barsinghausen, Stadt",  35 156,No Website,,,,,
"Steinfurt, Stadt",  35 102,https://steinfurt.de,,,,,
"Balingen, Stadt",  34 945,https://balingen.de,,,,,
"Dietzenbach, Kreisstadt",  34 928,https://dietzenbach.de,,,,,
"Kempen, Stadt",  34 841,https://kempen.de,,,,,
"Seelze, Stadt",  34 742,No Website,,,,,
"Wermelskirchen, Stadt",  34 739,https://wermelskirchen.de,,,,,
"Saarlouis, Kreisstadt",  34 717,https://saarlouis.de,,,,,
"Wedel, Stadt",  34 538,https://wedel.de,,,,,
"Viernheim, Stadt",  34 534,https://viernheim.de,,,,,
"Zweibrücken, Stadt",  34 534,https://zweibruecken.de,,,,,
"Ahrensburg, Stadt",  34 509,https://ahrensburg.de,,,,,
"Merseburg, Stadt",  34 335,https://merseburg.de,,,,,
"Geldern, Stadt",  34 298,https://geldern.de,,,,,
"Korschenbroich, Stadt",  34 187,https://korschenbroich.de,,,,,
"Kornwestheim, Stadt",  34 130,https://kornwestheim.de,,,,,
"Radebeul, Stadt",  34 096,https://radebeul.de,,,,,
"Hemer, Stadt",  34 024,No Website,,,,,
"Biberach an der Riß, Stadt",  34 008,https://biberach-riss.de,,,,,
Stuhr,  33 952,No Website,,,,,
"Uelzen, Hansestadt",  33 934,https://uelzen.de,,,,,
"Vechta, Stadt",  33 769,https://vechta.de,,,,,
"Rheinfelden (Baden), Stadt",  33 581,https://rheinfelden.de,,,,,
"Schwedt/Oder, Stadt",  33 495,No Website,,,,,
"Bad Nauheim, Stadt",  33 445,https://bad-nauheim.de,,,,,
"Jülich, Stadt",  33 158,https://juelich.de,,,,,
"Forchheim, GKSt",  32 972,https://forchheim.de,,,,,
"Lampertheim, Stadt",  32 870,https://lampertheim.de,,,,,
"Delbrück, Stadt",  32 774,https://delbrueck.de,,,,,
"Achim, Stadt",  32 752,No Website,,,,,
"Herrenberg, Stadt",  32 649,https://herrenberg.de,,,,,
"Fürstenwalde/Spree, Stadt",  32 646,https://fuerstenwalde-spree.de,,,,,
"Geesthacht, Stadt",  32 336,https://geesthacht.de,,,,,
"Naumburg (Saale), Stadt",  32 289,https://naumburg-stadt.de,,,,,
"Bernburg (Saale), Stadt",  32 261,No Website,,,,,
"Itzehoe, Stadt",  32 258,https://itzehoe.de,,,,,
"Georgsmarienhütte, Stadt",  32 190,No Website,,,,,
"Bramsche, Stadt",  32 179,No Website,,,,,
"Nienburg (Weser), Stadt",  32 126,No Website,,,,,
"Radolfzell am Bodensee, Stadt",  32 043,https://radolfzell.de,,,,,
"Wernigerode, Stadt",  32 024,No Website,,,,,
Ganderkesee,  31 939,No Website,,,,,
"Oer-Erkenschwick, Stadt",  31 838,https://oer-erkenschwick.de,,,,,
Weyhe,  31 672,No Website,,,,,
"Emmerich am Rhein, Stadt",  31 544,https://emmerich-am-rhein.de,,,,,
"Geestland, Stadt",  31 507,No Website,,,,,
"Neuruppin, Stadt",  31 422,https://neuruppin.de,,,,,
"Hoyerswerda / Wojerecy, Stadt",  31 356,https://hoyerswerda.de,,,,,
"Altenburg, Stadt",  31 315,https://stadt-altenburg.de,,,,,
"Burgdorf, Stadt",  31 287,No Website,,,,,
"Kreuztal, Stadt",  31 197,https://kreuztal.de,,,,,
"Rheinberg, Stadt",  31 150,https://rheinberg.de,,,,,
"Gevelsberg, Stadt",  31 097,https://gevelsberg.de,,,,,
"Werl, Stadt",  31 045,https://werl.de,,,,,
"Lohmar, Stadt",  30 846,https://lohmar.de,,,,,
"Walsrode, Stadt",  30 819,No Website,,,,,
"Friedberg (Hessen), Kreisstadt",  30 818,https://friedberg.de,,,,,
"Taunusstein, Stadt",  30 810,No Website,,,,,
"Weil am Rhein, Stadt",  30 769,https://weil-am-rhein.de,,,,,
"Einbeck, Stadt",  30 728,No Website,,,,,
"Osterholz-Scharmbeck, Stadt",  30 659,No Website,,,,,
"Ennepetal, Stadt der Kluterthöhle",  30 652,https://ennepetal.de,,,,,
"Bad Hersfeld, Kreisstadt",  30 652,https://bad-hersfeld.de,,,,,
"Haan, Stadt",  30 542,No Website,,,,,
"Neuburg a.d.Donau, GKSt",  30 467,https://neuburg-donau.de,,,,,
"Friedberg, St",  30 407,https://friedberg-hessen.de,,,,,
"Schönebeck (Elbe), Stadt",  30 389,https://stadt-schoenebeck.de,,,,,
"Andernach, Stadt",  30 277,https://andernach.de,,,,,
"Gaggenau, Stadt",  30 250,https://gaggenau.de,,,,,
"Bretten, Stadt",  30 073,https://bretten.de,,,,,
"Merzig, Kreisstadt",  30 051,https://merzig.de,,,,,
"Meschede, Kreis- und  Hochschulstadt",  30 025,https://meschede.de,,,,,
"Schwandorf, GKSt",  29 990,https://schwandorf.de,,,,,
"Rietberg, Stadt",  29 919,https://rietberg.de,,,,,
Wedemark,  29 814,No Website,,,,,
Bad Zwischenahn,  29 803,https://bad-zwischenahn.de,,,,,
"Rendsburg, Stadt",  29 743,https://rendsburg.de,,,,,
"Werne, Stadt",  29 680,https://werne.de,,,,,
"Oelde, Stadt",  29 644,https://oelde.de,,,,,
"Waltrop, Stadt",  29 644,No Website,,,,,
"Güstrow, Barlachstadt",  29 556,https://guestrow.de,,,,,
"Landsberg am Lech, GKSt",  29 551,https://landsberg.de,,,,,
"Unterschleißheim, St",  29 523,https://unterschleissheim.de,,,,,
"Northeim, Stadt",  29 440,https://northeim.de,,,,,
"Tönisvorst, Stadt",  29 319,https://toenisvorst.de,,,,,
"Vaihingen an der Enz, Stadt",  29 305,https://vaihingen.de,,,,,
"Mühlheim am Main, Stadt",  29 252,No Website,,,,,
"Winnenden, Stadt",  29 245,https://winnenden.de,,,,,
"Saalfeld/Saale, Stadt",  29 224,https://saalfeld.de,,,,,
Blankenfelde-Mahlow,  29 159,No Website,,,,,
"Bühl, Stadt",  29 133,https://buehl.de,,,,,
"Springe, Stadt",  29 113,No Website,,,,,
